13-Dec-2021 17:31:55  | FRM | ### | ----------------------------------------------------------------------------
13-Dec-2021 17:31:55  | FRM | ### | LMEx Framework Version: 4.0.0.12
13-Dec-2021 17:31:55  | FRM | ### | LMEx 32Bit
13-Dec-2021 17:31:55  | FRM | ### | LMEx Sensor Version: 1.1.11.3
13-Dec-2021 17:31:55  | FRM | ### | User: MIB1RT
13-Dec-2021 17:31:55  | FRM | ### | User level: EXTENDED
13-Dec-2021 17:31:55  | FRM | ### | Test bench         : CANONLY
13-Dec-2021 17:31:55  | FRM | ### | Host name          : RT-Z0KG0
13-Dec-2021 17:31:55  | FRM | ### | Unibox Id          : 100
13-Dec-2021 17:31:55  | FRM | ### | Mainboard Number   : -1
13-Dec-2021 17:31:55  | FRM | ### | Measurement profile: \\rt02fs07.de.bosch.com\laborpplib$\profile_bst\BMI284\00_Engineering\FailureAnalysis\bai284aa_FA_v0.77.lua
13-Dec-2021 17:31:55  | FRM | ### | Final file path    : g:\DfsDE\LOC\Rt\BST\40_bst_lab\06_products\bmi284-lab\I007764_8D-21-685\04-El._Testing_at_RT_Accel_Gyro(3)\FA_4754
13-Dec-2021 17:31:55  | FRM | ### | Temporary file path: c:\TempMessdaten\\20211213173155\
13-Dec-2021 17:31:55  | FRM | ### | Movejob: deactivated
13-Dec-2021 17:31:55  | FRM | ### | TDMS ByteOrder: BigEndian
13-Dec-2021 17:31:55  | FRM | ### | TDMS language: german
13-Dec-2021 17:31:55  | FRM | ### | ----------------------------------------------------------------------------
13-Dec-2021 17:31:55  | FRM | ### | Info: temporary saving active
13-Dec-2021 17:31:55  | FRM | ### | -> Flag_SaveAndMoveLokalData: 1
13-Dec-2021 17:31:55  | FRM | ### | 
13-Dec-2021 17:31:55  | FRM | ### | ----------------------------------------------------------------------------
13-Dec-2021 17:31:55  | FRM | ### | Info: no tolerances set in profile or imported from SENSOR.EXE
13-Dec-2021 17:31:55  | FRM | ### | ----------------------------------------------------------------------------
13-Dec-2021 17:31:55  | FRM | ### | 
13-Dec-2021 17:31:56  | FRM | ### | Sensor Pos=1 Nr=1
13-Dec-2021 17:31:56  | FRM | ### | Sensor Pos=4 Nr=4754
13-Dec-2021 17:31:56  | FRM | ### | C:\LMEx\hl_treiber\CAN_lua.dll (Version 1.2.1.3) is loaded
13-Dec-2021 17:31:56  | FRM | ### | Test initializeded
13-Dec-2021 17:31:56  | FRM | ### | Profile: \\rt02fs07.de.bosch.com\laborpplib$\profile_bst\BMI284\00_Engineering\FailureAnalysis\bai284aa_FA_v0.77.lua
13-Dec-2021 17:31:58  | INF | ### | Paranoia power reset (TM)
13-Dec-2021 17:32:00  | SEN | 001 | module_id:14099
13-Dec-2021 17:32:00  | SEN | 001 | SNR:b0b6808707033713
13-Dec-2021 17:32:00  | SEN | 001 | USNR:0000H6K250004019055KY
13-Dec-2021 17:32:01  | INF | ### | CRC 42917 crc read:42917
13-Dec-2021 17:32:01  | INF | ### | SensorNr1
13-Dec-2021 17:32:01  | INF | ### | 
13-Dec-2021 17:32:01  | INF | ### | ||      Measurement         ||    Mean    ||      Std     ||  Comment     ||
13-Dec-2021 17:32:03  | INF | ### | | RATE_X_wodrivewoCM        |      -0.08dps|  0.04dps  | DC <2dps, AC < 0.088dps |
13-Dec-2021 17:32:03  | INF | ### | | RATE_Y_wodrivewoCM        |      -0.02dps|  0.05dps  | DC <2dps, AC < 0.088dps |
13-Dec-2021 17:32:03  | INF | ### | | RATE_Z_wodrivewoCM        |      -0.00dps|  0.06dps  | DC <2dps, AC < 0.088dps |
13-Dec-2021 17:32:04  | INF | ### | | Quad_X_wodrivewoCM        |       0.90dps|  0.36dps  | comment |
13-Dec-2021 17:32:04  | INF | ### | | Quad_Y_wodrivewoCM        |       1.25dps|  0.33dps  | comment |
13-Dec-2021 17:32:04  | INF | ### | | Quad_Z_wodrivewoCM        |      -0.63dps|  1.20dps  | comment |
13-Dec-2021 17:32:08  | INF | ### | | CV_D_wodrivewoCM in TADC  |        7.14mV|   0.08mV  |  |
13-Dec-2021 17:32:09  | INF | ### | | CV_X_wodrivewoCM in TADC  |       10.00mV|   0.31mV  |  |
13-Dec-2021 17:32:11  | INF | ### | | CV_Y_wodrivewoCM in TADC  |       -4.50mV|   0.30mV  |  |
13-Dec-2021 17:32:12  | INF | ### | | CV_Z_wodrivewoCM in TADC  |       61.81mV|   0.37mV  |  |
13-Dec-2021 17:32:13  | INF | ### | | RATE_X_wodrivewoCM_s30    |       12.80mv|  -0.21mv  | pls compare it with CV_X_wodrivewoCM in TADC |
13-Dec-2021 17:32:13  | INF | ### | | RATE_Y_wodrivewoCM_s30    |        1.40mv|   0.14mv  | pls compare it with CV_Y_wodrivewoCM in TADC |
13-Dec-2021 17:32:13  | INF | ### | | RATE_Z_wodrivewoCM_s30    |       57.99mv|  -0.48mv  | pls compare it with CV_Z_wodrivewoCM in TADC |
13-Dec-2021 17:32:13  | INF | ### | | S30_CV_X_diff_wodrivewoCM |        2.80mv|   0.00mv  |  |
13-Dec-2021 17:32:13  | INF | ### | | S30_CV_Y_diff_wodrivewoCM |        5.90mv|   0.00mv  |  |
13-Dec-2021 17:32:13  | INF | ### | | S30_CV_Z_diff_wodrivewoCM |       -3.83mv|   0.00mv  |  |
13-Dec-2021 17:32:16  | INF | ### | | RATE_X_wodrivewCM         |      -0.08dps|  0.04dps  | DC <2dps, AC < 0.1dps |
13-Dec-2021 17:32:16  | INF | ### | | RATE_Y_wodrivewCM         |      -0.03dps|  0.04dps  | DC <2dps, AC < 0.1dps |
13-Dec-2021 17:32:16  | INF | ### | | RATE_Z_wodrivewCM         |      -0.02dps|  0.04dps  | DC <2dps, AC < 0.1dps |
13-Dec-2021 17:32:18  | INF | ### | | CV_D_wodrivewCM in TADC   |        7.12mV|   0.08mV  |  |
13-Dec-2021 17:32:20  | INF | ### | | CV_X_wodrivewCM in TADC   |        9.89mV|   0.36mV  |  |
13-Dec-2021 17:32:22  | INF | ### | | CV_Y_wodrivewCM in TADC   |       -4.71mV|   0.32mV  |  |
13-Dec-2021 17:32:23  | INF | ### | | CV_Z_wodrivewCM in TADC   |       61.85mV|   0.57mV  |  |
13-Dec-2021 17:32:23  | INF | ### | | CV_D_inTADC_diff          |       -0.02mV|   0.00mV  | W/ CM minus W/O CM |
13-Dec-2021 17:32:23  | INF | ### | | CV_X_inTADC_diff          |       -0.11mV|   0.00mV  | W/ CM minus W/O CM |
