06-Dec-2021 17:04:43  | FRM | ### | ----------------------------------------------------------------------------
06-Dec-2021 17:04:43  | FRM | ### | LMEx Framework Version: 4.0.0.12
06-Dec-2021 17:04:43  | FRM | ### | LMEx 32Bit
06-Dec-2021 17:04:43  | FRM | ### | LMEx Sensor Version: 1.1.11.3
06-Dec-2021 17:04:43  | FRM | ### | User: MIB1RT
06-Dec-2021 17:04:43  | FRM | ### | User level: EXTENDED
06-Dec-2021 17:04:43  | FRM | ### | Test bench         : CANONLY
06-Dec-2021 17:04:43  | FRM | ### | Host name          : RT-Z0KG0
06-Dec-2021 17:04:43  | FRM | ### | Unibox Id          : 100
06-Dec-2021 17:04:43  | FRM | ### | Mainboard Number   : -1
06-Dec-2021 17:04:43  | FRM | ### | Measurement profile: \\rt02fs07.de.bosch.com\laborpplib$\profile_bst\BMI284\00_Engineering\FailureAnalysis\bai284aa_FA_v0.77.lua
06-Dec-2021 17:04:43  | FRM | ### | Final file path    : g:\DfsDE\LOC\Rt\BST\40_bst_lab\06_products\bmi284-lab\I007738_8D-21-670\04-El._Testing_at_RT_Accel_Gyro(3)\FA_4718-4719
06-Dec-2021 17:04:43  | FRM | ### | Temporary file path: c:\TempMessdaten\\20211206170443\
06-Dec-2021 17:04:43  | FRM | ### | Movejob: deactivated
06-Dec-2021 17:04:43  | FRM | ### | TDMS ByteOrder: BigEndian
06-Dec-2021 17:04:43  | FRM | ### | TDMS language: german
06-Dec-2021 17:04:43  | FRM | ### | ----------------------------------------------------------------------------
06-Dec-2021 17:04:43  | FRM | ### | Info: temporary saving active
06-Dec-2021 17:04:43  | FRM | ### | -> Flag_SaveAndMoveLokalData: 1
06-Dec-2021 17:04:43  | FRM | ### | 
06-Dec-2021 17:04:43  | FRM | ### | ----------------------------------------------------------------------------
06-Dec-2021 17:04:43  | FRM | ### | Info: no tolerances set in profile or imported from SENSOR.EXE
06-Dec-2021 17:04:43  | FRM | ### | ----------------------------------------------------------------------------
06-Dec-2021 17:04:43  | FRM | ### | 
06-Dec-2021 17:04:43  | FRM | ### | Sensor Pos=1 Nr=1
06-Dec-2021 17:04:43  | FRM | ### | Sensor Pos=2 Nr=4718
06-Dec-2021 17:04:43  | FRM | ### | Sensor Pos=3 Nr=4719
06-Dec-2021 17:04:43  | FRM | ### | C:\LMEx\hl_treiber\CAN_lua.dll (Version 1.2.1.3) is loaded
06-Dec-2021 17:04:43  | FRM | ### | Test initializeded
06-Dec-2021 17:04:43  | FRM | ### | Profile: \\rt02fs07.de.bosch.com\laborpplib$\profile_bst\BMI284\00_Engineering\FailureAnalysis\bai284aa_FA_v0.77.lua
06-Dec-2021 17:04:45  | INF | ### | Paranoia power reset (TM)
06-Dec-2021 17:04:47  | SEN | 001 | module_id:12564
06-Dec-2021 17:04:47  | SEN | 001 | SNR:6928726907053114
06-Dec-2021 17:04:48  | SEN | 001 | USNR:0000H2NH52019020049KY
06-Dec-2021 17:04:48  | INF | ### | CRC 28195 crc read:28195
06-Dec-2021 17:04:48  | INF | ### | SensorNr1
06-Dec-2021 17:04:48  | INF | ### | 
06-Dec-2021 17:04:48  | INF | ### | ||      Measurement         ||    Mean    ||      Std     ||  Comment     ||
06-Dec-2021 17:04:51  | INF | ### | | RATE_X_wodrivewoCM        |      -0.09dps|  0.04dps  | DC <2dps, AC < 0.088dps |
06-Dec-2021 17:04:51  | INF | ### | | RATE_Y_wodrivewoCM        |       0.06dps|  0.05dps  | DC <2dps, AC < 0.088dps |
06-Dec-2021 17:04:51  | INF | ### | | RATE_Z_wodrivewoCM        |       0.10dps|  0.04dps  | DC <2dps, AC < 0.088dps |
06-Dec-2021 17:04:52  | INF | ### | | Quad_X_wodrivewoCM        |       0.84dps|  0.39dps  | comment |
06-Dec-2021 17:04:52  | INF | ### | | Quad_Y_wodrivewoCM        |       1.08dps|  0.13dps  | comment |
06-Dec-2021 17:04:52  | INF | ### | | Quad_Z_wodrivewoCM        |      -0.68dps|  0.88dps  | comment |
06-Dec-2021 17:04:55  | INF | ### | | CV_D_wodrivewoCM in TADC  |       10.36mV|   0.07mV  |  |
06-Dec-2021 17:04:57  | INF | ### | | CV_X_wodrivewoCM in TADC  |       -5.76mV|   0.35mV  |  |
06-Dec-2021 17:04:59  | INF | ### | | CV_Y_wodrivewoCM in TADC  |       33.21mV|   0.31mV  |  |
06-Dec-2021 17:05:00  | INF | ### | | CV_Z_wodrivewoCM in TADC  |       -7.93mV|   0.29mV  |  |
06-Dec-2021 17:05:01  | INF | ### | | RATE_X_wodrivewoCM_s30    |      -12.19mv|  -0.22mv  | pls compare it with CV_X_wodrivewoCM in TADC |
06-Dec-2021 17:05:01  | INF | ### | | RATE_Y_wodrivewoCM_s30    |       24.38mv|   0.15mv  | pls compare it with CV_Y_wodrivewoCM in TADC |
06-Dec-2021 17:05:01  | INF | ### | | RATE_Z_wodrivewoCM_s30    |       -0.40mv|  -0.41mv  | pls compare it with CV_Z_wodrivewoCM in TADC |
06-Dec-2021 17:05:01  | INF | ### | | S30_CV_X_diff_wodrivewoCM |       -6.43mv|   0.00mv  |  |
06-Dec-2021 17:05:01  | INF | ### | | S30_CV_Y_diff_wodrivewoCM |       -8.84mv|   0.00mv  |  |
06-Dec-2021 17:05:01  | INF | ### | | S30_CV_Z_diff_wodrivewoCM |        7.53mv|   0.00mv  |  |
06-Dec-2021 17:05:03  | INF | ### | | RATE_X_wodrivewCM         |      -0.12dps|  0.04dps  | DC <2dps, AC < 0.1dps |
06-Dec-2021 17:05:03  | INF | ### | | RATE_Y_wodrivewCM         |       0.04dps|  0.05dps  | DC <2dps, AC < 0.1dps |
06-Dec-2021 17:05:03  | INF | ### | | RATE_Z_wodrivewCM         |       0.11dps|  0.05dps  | DC <2dps, AC < 0.1dps |
06-Dec-2021 17:05:06  | INF | ### | | CV_D_wodrivewCM in TADC   |       10.39mV|   0.07mV  |  |
06-Dec-2021 17:05:08  | INF | ### | | CV_X_wodrivewCM in TADC   |       -5.77mV|   0.32mV  |  |
06-Dec-2021 17:05:09  | INF | ### | | CV_Y_wodrivewCM in TADC   |       33.18mV|   0.31mV  |  |
06-Dec-2021 17:05:11  | INF | ### | | CV_Z_wodrivewCM in TADC   |       -8.20mV|   0.56mV  |  |
06-Dec-2021 17:05:11  | INF | ### | | CV_D_inTADC_diff          |        0.03mV|   0.00mV  | W/ CM minus W/O CM |
06-Dec-2021 17:05:11  | INF | ### | | CV_X_inTADC_diff          |       -0.01mV|   0.00mV  | W/ CM minus W/O CM |
06-Dec-2021 17:05:11  | INF | ### | | CV_Y_inTADC_diff          |       -0.04mV|   0.00mV  | W/ CM minus W/O CM |
